field,row,tree,yplant,year,month,nb_bunch,nb_fr,nb_abfr,
081,23,23,2002,2022,2,2,23,,
081,23,24,2002,2022,2,2,25,,
081,23,25,2002,2022,2,2,27,,
081,24,1,2002,2022,2,0,0,,
081,24,2,2002,2022,2,1,3,,
081,24,3,2002,2022,2,1,8,,
081,24,4,2002,2022,2,2,17,,
081,24,5,2002,2022,2,0,0,,
081,24,6,2002,2022,2,0,0,,
081,24,7,2002,2022,2,0,0,,
081,24,8,2002,2022,2,0,0,,
081,24,9,2002,2022,2,0,0,,
081,24,10,2002,2022,2,0,0,,
081,24,11,2002,2022,2,0,0,,
081,24,12,2002,2022,2,0,0,,
081,24,13,2002,2022,2,2,12,,
081,24,14,2002,2022,2,2,11,,
081,24,15,2002,2022,2,1,9,,
081,24,16,2002,2022,2,1,6,,
081,24,17,2002,2022,2,1,8,,
081,24,18,2002,2022,2,0,0,,
081,24,19,2002,2022,2,2,10,,
081,24,20,2002,2022,2,0,0,,
081,24,21,2002,2022,2,2,11,,
081,24,22,2002,2022,2,3,39,,
081,24,24,2002,2022,2,2,10,,
081,24,25,2002,2022,2,1,7,,
081,25,1,2002,2022,2,0,0,,
081,25,3,2002,2022,2,2,13,,
081,25,4,2002,2022,2,0,0,,
081,25,5,2002,2022,2,1,3,,
081,25,7,2002,2022,2,1,2,,
081,25,8,2002,2022,2,0,0,,
081,25,9,2002,2022,2,0,0,,
081,25,10,2002,2022,2,0,0,,
081,25,11,2002,2022,2,1,4,,
081,25,12,2002,2022,2,0,0,,
081,25,13,2002,2022,2,1,7,,
081,25,14,2002,2022,2,2,27,,
081,25,15,2002,2022,2,2,28,,
081,25,16,2002,2022,2,2,11,,
081,25,17,2002,2022,2,1,5,,
081,25,18,2002,2022,2,0,0,,
081,25,19,2002,2022,2,0,0,,
081,25,20,2002,2022,2,0,0,,
081,25,21,2002,2022,2,0,0,,
081,25,23,2002,2022,2,1,5,,
081,25,24,2002,2022,2,2,15,,
081,25,25,2002,2022,2,4,74,,
081,26,3,2002,2022,2,1,7,,
081,26,5,2002,2022,2,1,6,,
081,26,6,2002,2022,2,2,15,,
081,26,7,2002,2022,2,0,0,,
081,26,8,2002,2022,2,1,7,,
081,26,9,2002,2022,2,0,0,,
081,26,11,2002,2022,2,2,13,,
081,26,12,2002,2022,2,1,5,,
081,26,13,2002,2022,2,0,0,,
081,26,14,2002,2022,2,0,0,,
081,26,15,2002,2022,2,2,23,,
081,26,16,2002,2022,2,1,4,,
081,26,19,2002,2022,2,3,38,,
081,26,20,2002,2022,2,1,6,,
081,26,21,2002,2022,2,0,0,,
081,26,22,2002,2022,2,1,3,,
081,26,23,2002,2022,2,1,9,,
081,26,24,2002,2022,2,0,0,,
081,26,25,2002,2022,2,1,6,,
081,27,1,2002,2022,2,2,25,,
081,27,2,2002,2022,2,1,7,,
081,27,3,2002,2022,2,1,8,,
081,27,4,2002,2022,2,2,10,,
081,27,5,2002,2022,2,1,2,,
081,27,6,2002,2022,2,2,12,,
081,27,7,2002,2022,2,0,0,,
081,27,8,2002,2022,2,2,15,,
081,27,10,2002,2022,2,1,5,,
081,27,11,2002,2022,2,3,30,,
081,27,12,2002,2022,2,0,0,,
081,27,13,2002,2022,2,4,35,,
081,27,14,2002,2022,2,0,0,,
081,27,15,2002,2022,2,4,42,,
081,27,19,2002,2022,2,0,0,,
081,27,20,2002,2022,2,1,5,,
081,27,21,2002,2022,2,1,5,,
081,27,22,2002,2022,2,2,12,,
081,27,23,2002,2022,2,2,20,,
081,27,24,2002,2022,2,2,10,,
081,27,25,2002,2022,2,2,14,,
081,28,1,2002,2022,2,0,0,,
081,28,3,2002,2022,2,2,31,,
081,28,4,2002,2022,2,1,7,,
081,28,5,2002,2022,2,1,1,,
081,28,6,2002,2022,2,2,17,,
081,28,7,2002,2022,2,0,0,,
081,28,8,2002,2022,2,1,13,,
081,28,9,2002,2022,2,2,26,,
081,28,10,2002,2022,2,1,14,,
081,28,11,2002,2022,2,0,0,,
081,28,12,2002,2022,2,2,19,,
081,28,13,2002,2022,2,0,0,,
081,28,14,2002,2022,2,0,0,,
081,28,15,2002,2022,2,0,0,,
081,28,16,2002,2022,2,0,0,,
081,28,17,2002,2022,2,1,9,,
081,28,18,2002,2022,2,1,9,,
081,28,19,2002,2022,2,0,0,,
081,28,20,2002,2022,2,1,1,,
081,28,21,2002,2022,2,0,0,,
081,28,22,2002,2022,2,0,0,,
081,28,24,2002,2022,2,0,0,,
081,28,25,2002,2022,2,2,12,,
081,29,1,2002,2022,2,0,0,,
081,29,2,2002,2022,2,2,17,,
081,29,3,2002,2022,2,1,5,,
081,29,4,2002,2022,2,2,23,,
081,29,5,2002,2022,2,1,18,,
081,29,6,2002,2022,2,1,6,,
081,29,7,2002,2022,2,0,0,,
081,29,8,2002,2022,2,1,5,,
081,29,9,2002,2022,2,0,0,,
081,29,10,2002,2022,2,0,0,,
081,29,12,2002,2022,2,0,0,,
081,29,13,2002,2022,2,1,4,,
081,29,14,2002,2022,2,1,4,,
